nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,biography,birthday,deathday,tmdb_id,known_for_department,place_of_birth,popularity,profile_photo
nm0000003,Brigitte Bardot,1934.0,,"actress,music_department,producer","tt0057345,tt0049189,tt0056404,tt0054452","Brigitte Anne-Marie Bardot (born 28 September 1934) is a French former fashion model, actress and singer, and animal rights activist.

In her early life, Bardot was an aspiring ballet dancer. She started her acting career in 1952 and, after appearing in 16 films, became world-famous due to her role in her then-husband Roger Vadim's controversial film And God Created Woman. She later starred in Jean-Luc Godard's 1963 cult film, Contempt. She was nominated for a BAFTA Award for Best Foreign Actress for her role in Louis Malle's 1965 film, Viva Maria!.

She caught the attention of French intellectuals. She was the subject of Simone de Beauvoir's 1959 essay, The Lolita Syndrome, which described Bardot as a ""locomotive of women's history"" and built upon existentialist themes to declare her the first and most liberated woman of post-war France.

Bardot retired from the entertainment industry in 1973. During her career in show business Bardot starred in 47 films, performed in numerous musical shows, and recorded 80 songs. She was awarded the Légion d'honneur in 1985 but refused to receive it.

After her retirement, Bardot established herself as an animal rights activist. During the 1990s, she became controversial due to her criticism of immigration, Islamization and Islam in France, and has been fined five times for ""inciting racial hatred"".",1934-09-28,,3783.0,Acting,"Paris, France",3.8575,https://image.tmdb.org/t/p/w500//prEu5JJslUBTjOSAxsO9VU4OoYq.jpg
nm0000006,Ingrid Bergman,1915.0,1982.0,"actress,producer,soundtrack","tt0034583,tt0038109,tt0036855,tt0038787","Ingrid Bergman (August 29, 1915 – August 29, 1982) was a Swedish actress who starred in a variety of European and American films, television movies, and plays. With a career spanning five decades, she is often regarded as one of the most influential screen figures in cinematic history.

According to the St. James Encyclopedia of Popular Culture, upon her arrival in the U.S. Bergman quickly became ""the ideal of American womanhood"" and a contender for Hollywood's greatest leading actress. David O. Selznick once called her ""the most completely conscientious actress"" he had ever worked with. In 1999, the American Film Institute recognised Bergman as the fourth greatest female screen legend of Classic Hollywood Cinema.

She won numerous accolades, including three Academy Awards, two Primetime Emmy Awards, a Tony Award, four Golden Globe Awards, BAFTA Award and a Volpi Cup. She is one of only four actresses to have received at least three acting Academy Awards (only Katharine Hepburn has four).

Born in Stockholm to a Swedish father and a German mother, Bergman began her acting career in Swedish and German films. Her introduction to the U.S. audience came in the English-language remake of Intermezzo (1939). Known for her naturally luminous beauty, she starred in Casablanca (1942) as Ilsa Lund, her most famous role, opposite Humphrey Bogart. Bergman's notable performances in the 1940s include the dramas For Whom the Bell Tolls (1943), Gaslight (1944), The Bells of St. Mary's (1945), and Joan of Arc (1948), all of which earned her nominations for the Academy Award for Best Actress; she won for Gaslight. She made three films with Alfred Hitchcock: Spellbound (1945), with Gregory Peck, Notorious (1946), opposite Cary Grant and Under Capricorn (1949), alongside Joseph Cotten.

In 1950, she starred in Roberto Rossellini's Stromboli, released after the revelation she was having an affair with Rossellini; that and her pregnancy prior to their marriage created a scandal in the U.S. that prompted her to remain in Europe for several years. During this time she starred in Rossellini's Europa '51 and Journey to Italy (1954), now critically acclaimed, the former of which won her the Volpi Cup for Best Actress. She had a successful return to working for a Hollywood studio in Anastasia (1956), winning her second Academy Award for Best Actress. Soon after, she co-starred with Grant in the romance Indiscreet (1958). In 1969, she starred in the acclaimed and highly successful film Cactus Flower. In later years, Bergman won her third Academy Award, this one for Best Supporting Actress, for her role in Murder on the Orient Express (1974). In 1978, she starred in Ingmar Bergman's (no relation) Swedish Autumn Sonata receiving her sixth Best Actress nomination. Bergman spoke five languages – Swedish, English, German, Italian and French – and acted in each.

In her final role, she portrayed the late Israeli Prime Minister Golda Meir in the television miniseries A Woman Called Golda (1982) for which she posthumously won her second Emmy Award for Best Actress. In 1974, Bergman discovered she was suffering from breast cancer but continued to work until shortly before her death on her sixty-seventh birthday.",1915-08-29,1982-08-29,4111.0,Acting,"Stockholm, Sweden",3.6486,https://image.tmdb.org/t/p/w500//9LdhzK5CVkLZjRdQ08V9C0Oiu9I.jpg
nm0000052,Marcello Mastroianni,1924.0,1996.0,"actor,producer,miscellaneous","tt0053779,tt0056801,tt0076085,tt0058335","Marcello Vincenzo Domenico Mastroianni was an Italian film actor. His honours have included British Film Academy Awards, Best Actor awards at the Cannes Film Festival and two Golden Globe Awards.",1924-09-28,1996-12-19,5676.0,Acting,"Fontana Liri, Latium, Italy",3.3853,https://image.tmdb.org/t/p/w500//bfLnFfNfMC73Q7WW90xQy2PvRZm.jpg
nm0000057,David Niven,1910.0,1983.0,"actor,producer,director","tt0038733,tt0074937,tt0057413,tt0052182","James David Graham Niven (1 March 1910 – 29 July 1983), known as David Niven, was a British actor and novelist, best known for his roles as Phileas Fogg in Around the World in 80 Days and Sir Charles Lytton, a.k.a. ""the Phantom"", in The Pink Panther. He was awarded the 1958 Academy Award for Best Actor in Separate Tables.",1910-03-01,1983-07-29,14261.0,Acting,"London, England, UK",4.1194,https://image.tmdb.org/t/p/w500//ioW2DU6T2HPvTdqUSaLLQmGPb38.jpg
nm0000076,François Truffaut,1932.0,1984.0,"writer,director,producer","tt0070460,tt0075860,tt0053198,tt0055032","François Roland Truffaut (February 6, 1932 – October 21, 1984) was an influential film critic and filmmaker and one of the founders of the French New Wave. In a film career lasting over a quarter of a century, he remains an icon of the French film industry. He was also a screenwriter, producer, and actor working on over twenty-five films. Along with Jean-Luc Godard, Truffaut was one of the most influential figures of the French New Wave, inspiring directors such as Steven Spielberg, Quentin Tarantino, Brian De Palma, Martin Scorsese and Wes Anderson.",1932-02-06,1984-10-21,1650.0,Directing,"Paris, France",2.8407,https://image.tmdb.org/t/p/w500//75zp0S5OTo8Y6nLOzherJ9s656A.jpg
nm0000079,Raquel Welch,1940.0,2023.0,"actress,producer,writer","tt0072281,tt0060397,tt0061653,tt0066115","Jo Raquel Welch (née Tejada; September 5, 1940 – February 15, 2023) was an American actress.

Welch first garnered attention for her role in Fantastic Voyage (1966), after which she signed a long-term contract with 20th Century Fox. They lent her contract to the British studio Hammer Film Productions, for whom she made One Million Years B.C. (1966). Although Welch had only three lines of dialogue in the film, images of her in the doe-skin bikini became bestselling posters that turned her into an international sex symbol. She later starred in Bedazzled (1967), Bandolero! (1968), 100 Rifles (1969), Myra Breckinridge (1970), Hannie Caulder (1971), Kansas City Bomber (1972), The Last of Sheila (1973), The Three Musketeers (1973), The Wild Party (1975), and Mother, Jugs & Speed (1976). She made several television variety specials.

Through her portrayal of strong female characters, helping her break the mold of the traditional sex symbol, Welch developed a unique film persona that made her an icon of the 1960s and 1970s. Her rise to stardom in the mid-1960s was partly credited with ending Hollywood's vigorous promotion of the blonde bombshell.[1][2][3] Her love scene with Jim Brown in 100 Rifles also made cinematic history with their portrayal of interracial intimacy.[4] She won a Golden Globe Award for Best Motion Picture Actress in a Musical or Comedy in 1974 for her performance as Constance Bonacieux in The Three Musketeers and reprised the role in its sequel the following year. She was also nominated for a Golden Globe Award for Best Actress in Television Film for her performance in Right to Die (1987). Her final film was How to Be a Latin Lover (2017). In 1995, Welch was chosen by Empire magazine as one of the ""100 Sexiest Stars in Film History"". Playboy ranked Welch No. 3 on their ""100 Sexiest Stars of the Twentieth Century"" list.

Description above from the Wikipedia article Raquel Welch, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1940-09-05,2023-02-15,21462.0,Acting,"Chicago, Illinois, USA",4.9469,https://image.tmdb.org/t/p/w500//gsKsY1PlhZ8qGx54zq7ciswZ0zw.jpg
nm0000086,Louis de Funès,1914.0,1983.0,"actor,writer,miscellaneous","tt0069747,tt0074103,tt0079200,tt0064425","Louis de Funès, born Louis Germain David de Funès de Galarza, was a popular French actor of Spanish origin and one of the giants of French comedy alongside André Bourvil and Fernandel.",1914-07-31,1983-01-27,11187.0,Acting,"Courbevoie, Hauts-de-Seine, France ",4.398,https://image.tmdb.org/t/p/w500//8R8WVggSEKxxT4n2HRKHjxHrIQZ.jpg
nm0000091,Gérard Pirès,1942.0,,"director,writer,actor","tt0152930,tt0064297,tt0282552,tt0421974","Gérard Pirès (born 31 August 1942) is a French film director and writer.  He is a director and writer, known for Taxi (1998), Erotissimo (1969) and Steal (2002).",1942-08-31,,23945.0,Directing,"Paris, Ile-de-France, France",0.5863,https://image.tmdb.org/t/p/w500//iPfdLfScA9CmSJ9M3XZcywadEsN.jpg
nm0000095,Woody Allen,1935.0,,"writer,director,actor","tt0075686,tt0079522,tt0118954,tt0091167","Woody Allen (born Allen Stewart Konigsberg; November 30, 1935) is an American screenwriter, film director, actor, comedian, writer, musician, and playwright. Allen's distinctive films, which run the gamut from dramas to screwball sex comedies, have made him a notable American director. He is also distinguished by his rapid rate of production and his very large body of work. Allen writes and directs his movies and has also acted in the majority of them. For inspiration, Allen draws heavily on literature, sexuality, philosophy, psychology, Jewish identity, and the history of cinema, among a wealth of other fields of interest. Allen developed a passion for music early on and is a celebrated jazz clarinetist. What began as a teenage avocation has led to regular public performances at various small venues in his hometown of Manhattan, with occasional appearances at various jazz festivals. Allen joined the Preservation Hall Jazz Band and the New Orleans Funeral Ragtime Orchestra in performances that provided the film score for his 1973 comedy Sleeper, and performed in a rare European tour in 1996, which became the subject of the documentary Wild Man Blues.",1935-11-30,,1243.0,Directing,"The Bronx, New York City, New York, USA",4.2493,https://image.tmdb.org/t/p/w500//wcPQgZLDibuej1RwNTy1R2U2ZJw.jpg
nm0000097,Pamela Anderson,1967.0,,"actress,producer,director","tt31193791,tt0096542,tt18376122,tt0101120","Pamela Denise Anderson (born July 1, 1967) is a Canadian-American actress, model and media personality. She rose to prominence after being selected as the February 1990 Playboy Playmate of the Month. She went on to make regular appearances on the magazine's cover and held the record for the most Playboy covers by any individual. Anderson began her acting career on the ABC sitcom Home Improvement(1991–1997) before receiving international recognition for starring as ""C.J."" Parker on the action drama series Baywatch (1992–1997), which further cemented her status as a sex symbol.

In 1995, personal home videos of Anderson with her then-husband, Tommy Lee, were stolen and sold as a sex tape, which resulted in a legal fight and made her the subject of controversy. Anderson played Vallery Irons on the syndicated series V.I.P. (1998–2002) and starred as Skyler Dayton on the Fox sitcom Stacked (2005–2006). Her film credits include Barb Wire (1996), Scary Movie 3 (2003), Borat (2006), Baywatch (2017), and City Hunter (2018). She has appeared in her reality series Pam: Girl on the Loose (2008) and the Dancing with the Stars franchise (2010–2012, 2018).

Anderson saw a career resurgence in the 2020s after her 2022 Broadway debut portraying Roxie Hart in the long-running musical Chicago, the 2023 Netflix documentary Pamela, a Love Story(which coincided with the release of her autobiography, Love, Pamela), and the 2024 indie-drama film The Last Showgirl, the latter of which earned her nominations for the Golden Globe Award and the Screen Actors Guild Award for Best Actress.

Anderson has publicly supported various charitable causes, particularly animal rights, and has endorsed PETA activities. She endorses plant-based cooking and serves as the host for Flavour Network's plant-based cooking show, Pamela's Cooking with Love (2025–present). She also released the plant-based cookbook I Love You: Recipes from the Heart in 2024.

Description above from the Wikipedia article Pamela Anderson, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1967-07-01,,6736.0,Acting,"Ladysmith, British Columbia, Canada",5.8589,https://image.tmdb.org/t/p/w500//rY2X5J2E8pgWOJi0oa23jc3oqfb.jpg
